Timestamp,Input (Hindcast) - meteofrance_wave,Output (Forecast) - meteofrance_wave,Input (Hindcast) - ewam,Output (Forecast) - ewam
2026-02-21 10:00:00,2.78,0.7644889979930418,2.82,0.7105778589288944
2026-02-21 11:00:00,2.82,0.7085810292651847,2.86,0.6623456334869495
2026-02-21 12:00:00,2.88,0.7140912855360383,2.88,0.6569753669809555
2026-02-21 13:00:00,2.9,0.7443952623020443,2.9,0.6862478040897616
2026-02-21 14:00:00,2.9,0.8070856640328934,2.92,0.7554006509407007
2026-02-21 15:00:00,2.92,0.9199756571124346,2.94,0.8715742850950029
2026-02-21 16:00:00,2.92,1.0060442362288933,2.94,0.9967533590024594
2026-02-21 17:00:00,2.92,1.0913259970819174,2.94,1.0871768927779704
2026-02-21 18:00:00,2.92,1.1212709208819827,2.92,1.1139473350923839
2026-02-21 19:00:00,2.88,1.0679475737341637,2.9,1.0754426014024752
2026-02-21 20:00:00,2.86,1.009447127077542,2.88,0.9783553005900771
2026-02-21 21:00:00,2.82,0.8708892406427964,2.86,0.8453511199549695
2026-02-21 22:00:00,2.78,0.754239815942572,2.82,0.7244958172478774
2026-02-21 23:00:00,2.74,0.6798963493312193,2.78,0.6472105064892929
2026-02-22 00:00:00,2.7,0.6444836020542456,2.76,0.6205115008332941
2026-02-22 01:00:00,2.66,0.6430811591240441,2.72,0.6237803232704439
2026-02-22 02:00:00,2.62,0.6892042591115203,2.7,0.6685468469750339
2026-02-22 03:00:00,2.58,0.7520387447315053,2.66,0.7467787805278631
2026-02-22 04:00:00,2.56,0.8297778245069459,2.64,0.8336973417552914
2026-02-22 05:00:00,2.54,0.8983127965617852,2.62,0.8957320493286965
2026-02-22 06:00:00,2.52,0.9310646127633889,2.6,
2026-02-22 07:00:00,2.5,0.9172123213514697,,
2026-02-22 08:00:00,2.5,0.8584224785085567,,
2026-02-22 09:00:00,2.48,0.7621451968294356,,
2026-02-22 10:00:00,2.48,0.6751544806766135,,
2026-02-22 11:00:00,2.46,0.5948631213550095,,
2026-02-22 12:00:00,2.46,0.5655479995396805,,
2026-02-22 13:00:00,2.48,0.5723413662414184,,
2026-02-22 14:00:00,2.48,0.5986443656054452,,
2026-02-22 15:00:00,2.5,0.6600171360929864,,
2026-02-22 16:00:00,2.54,0.7521311533203043,,
2026-02-22 17:00:00,2.58,0.8477768941047206,,
2026-02-22 18:00:00,2.62,0.9201554204476033,,
2026-02-22 19:00:00,2.64,0.9359737724139483,,
2026-02-22 20:00:00,2.68,0.9187030040557438,,
2026-02-22 21:00:00,2.7,0.8516476874303556,,
2026-02-22 22:00:00,2.72,0.7657256719765669,,
2026-02-22 23:00:00,2.72,0.7100729278227523,,
2026-02-23 00:00:00,2.74,0.6746050416310316,,
2026-02-23 01:00:00,2.76,0.6697681745738597,,
2026-02-23 02:00:00,2.8,0.7217369681605207,,
2026-02-23 03:00:00,2.82,0.7818848384968966,,
2026-02-23 04:00:00,2.84,0.8918304290971377,,
2026-02-23 05:00:00,2.88,0.9976782892954991,,
2026-02-23 06:00:00,2.9,1.1142921547145137,,
2026-02-23 07:00:00,2.92,1.1510906997706418,,
2026-02-23 08:00:00,2.96,1.135304441911382,,
2026-02-23 09:00:00,2.98,1.100779552916782,,
2026-02-23 10:00:00,3.0,0.997443816253034,,
2026-02-23 11:00:00,3.0,0.9191084197441086,,
2026-02-23 12:00:00,3.02,0.8612733670379611,,
2026-02-23 13:00:00,3.0,0.8308015029058715,,
2026-02-23 14:00:00,3.0,0.8486380335560627,,
2026-02-23 15:00:00,2.98,0.8804162429097205,,
2026-02-23 16:00:00,2.94,0.9351214728134729,,
2026-02-23 17:00:00,2.92,1.0096383569334566,,
2026-02-23 18:00:00,2.88,1.0580343430884012,,
2026-02-23 19:00:00,2.84,1.0999972584778268,,
2026-02-23 20:00:00,2.78,1.0737488484650355,,
2026-02-23 21:00:00,2.74,1.0072180644824729,,
2026-02-23 22:00:00,2.68,0.8941499943711727,,
2026-02-23 23:00:00,2.62,0.8039011454261753,,
2026-02-24 00:00:00,2.56,0.7274207296913563,,
2026-02-24 01:00:00,2.5,0.6732899886402348,,
2026-02-24 02:00:00,2.44,0.644007889138593,,
2026-02-24 03:00:00,2.38,0.6424202134940196,,
2026-02-24 04:00:00,2.34,0.6669294732456686,,
2026-02-24 05:00:00,2.28,0.6834741029331785,,
2026-02-24 06:00:00,2.24,0.7364244544320887,,
2026-02-24 07:00:00,2.22,0.7870013275705487,,
2026-02-24 08:00:00,2.2,0.8033946944766431,,
2026-02-24 09:00:00,2.18,0.7658605392388094,,
2026-02-24 10:00:00,2.22,0.7244311347591479,,
2026-02-24 11:00:00,2.26,0.6505021149377719,,
2026-02-24 12:00:00,2.3,0.6199883804500238,,
2026-02-24 13:00:00,2.34,0.5743804419113473,,
2026-02-24 14:00:00,2.36,0.5523798004471602,,
2026-02-24 15:00:00,2.4,0.5591136931893834,,
2026-02-24 16:00:00,2.42,0.5759248324982184,,
2026-02-24 17:00:00,2.44,0.6045082398065329,,
2026-02-24 18:00:00,2.46,0.5982805069984283,,
2026-02-24 19:00:00,2.52,0.6445505351127008,,
2026-02-24 20:00:00,2.56,0.6924625374610529,,
2026-02-24 21:00:00,2.62,0.7019304891109763,,
2026-02-24 22:00:00,2.72,0.7168502065318743,,
2026-02-24 23:00:00,2.8,0.7376002043571829,,
2026-02-25 00:00:00,2.9,0.7584719465892718,,
2026-02-25 01:00:00,3.02,0.7507237091482714,,
2026-02-25 02:00:00,3.16,0.7532695585527044,,
2026-02-25 03:00:00,3.28,0.7605767301624141,,
2026-02-25 04:00:00,3.46,0.8131469519656653,,
2026-02-25 05:00:00,3.64,0.9234007939465302,,
2026-02-25 06:00:00,3.82,1.0667205787961755,,
2026-02-25 07:00:00,3.96,1.173452423654491,,
2026-02-25 08:00:00,4.12,1.2396339187641827,,
2026-02-25 09:00:00,4.26,1.3251417356777042,,
2026-02-25 10:00:00,4.3,1.3139044080921574,,
2026-02-25 11:00:00,4.36,1.2815399956967308,,
2026-02-25 12:00:00,4.4,1.1809537383851008,,
2026-02-25 13:00:00,4.34,1.1003438706115163,,
2026-02-25 14:00:00,4.3,1.0760538713676369,,
2026-02-25 15:00:00,4.24,1.0437674521402147,,
2026-02-25 16:00:00,4.14,1.013547638078513,,
2026-02-25 17:00:00,4.04,1.0300208536197566,,
2026-02-25 18:00:00,3.94,1.072257845499885,,
2026-02-25 19:00:00,3.84,1.1272521337395949,,
2026-02-25 20:00:00,3.76,1.1877272296553818,,
2026-02-25 21:00:00,3.66,1.2100146305285424,,
2026-02-25 22:00:00,3.66,1.236080901048539,,
2026-02-25 23:00:00,3.66,1.2166608674188846,,
